Date,Temperature_C,Humidity_%,Pressure_hPa,WindSpeed_kmh,CloudCover_%,Visibility_km,WindDirection,Rainfall_mm,WeatherCondition,RainToday,RainTomorrow,HighHumidity,HighWind,HighCloudCover,LowPressure,TemperatureGroup
2025-08-04,31.6,64.5,1019.7,27.5,86,9.8,NE,0.4,Cloudy,No,No,No,Yes,Yes,No,High
2025-08-05,22.4,77.8,1012.8,10.6,38,13.0,SW,0.2,Partly Cloudy,No,No,Yes,No,No,No,Moderate
2025-08-06,25.6,80.1,1013.1,30.4,62,9.2,W,0.5,Partly Cloudy,No,No,Yes,Yes,No,No,Moderate
2025-08-07,24.1,59.5,1009.5,15.7,34,4.4,NE,1.1,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-08-08,27.5,58.8,1011.6,4.6,100,9.3,E,0.5,Cloudy,No,Yes,No,No,Yes,No,Moderate
2025-08-09,40.9,63.6,1014.2,17.0,25,11.6,NE,0.5,Sunny,No,Yes,No,No,No,No,High
2025-08-10,15.8,31.2,1000.0,10.6,63,6.2,E,16.3,Light Rain,Yes,Yes,No,No,No,Yes,Low
2025-08-11,31.1,43.8,1002.6,22.7,71,7.6,SE,0.4,Cloudy,No,No,No,No,Yes,Yes,High
2025-08-12,17.3,89.9,1017.2,10.8,65,8.0,SW,21.4,Heavy Rain,Yes,Yes,Yes,No,No,No,Low
2025-08-13,24.2,94.3,1013.2,12.4,50,5.6,SW,8.5,Light Rain,Yes,Yes,Yes,No,No,No,Moderate
2025-08-14,33.5,64.0,1010.7,1.0,52,9.9,SW,0.3,Partly Cloudy,No,Yes,No,No,No,No,High
2025-08-15,27.4,77.2,1012.1,12.4,56,7.6,SE,0.5,Partly Cloudy,No,No,Yes,No,No,No,Moderate
2025-08-16,20.5,73.0,1014.4,1.0,51,9.3,W,1.1,Partly Cloudy,No,No,Yes,No,No,No,Moderate
2025-08-17,22.7,98.0,1008.2,3.3,79,5.3,S,21.8,Heavy Rain,Yes,Yes,Yes,No,Yes,No,Moderate
2025-08-18,31.1,85.9,1006.6,22.1,100,6.7,NW,5.3,Light Rain,Yes,Yes,Yes,No,Yes,Yes,High
2025-08-19,22.6,66.0,1013.4,22.3,41,10.2,SW,2.4,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-08-20,28.3,52.7,1005.2,19.4,21,6.9,NE,0.2,Sunny,No,No,No,No,No,Yes,Moderate
2025-08-21,27.3,42.3,1014.9,8.3,53,13.2,SW,0.7,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-08-22,23.1,71.3,1000.1,15.6,100,6.8,E,34.8,Heavy Rain,Yes,Yes,Yes,No,Yes,Yes,Moderate
2025-08-23,39.9,55.9,1019.2,16.0,35,8.7,SW,14.9,Light Rain,Yes,No,No,No,No,No,High
2025-08-24,30.8,45.2,1015.3,6.7,96,10.8,N,0.8,Cloudy,No,Yes,No,No,Yes,No,High
2025-08-25,14.8,57.7,1013.8,28.0,97,3.7,NE,33.9,Heavy Rain,Yes,No,No,Yes,Yes,No,Low
2025-08-26,28.1,50.7,1018.9,23.0,41,2.7,W,0.6,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-08-27,23.0,95.0,1023.7,14.2,69,3.4,E,17.3,Light Rain,Yes,Yes,Yes,No,No,No,Moderate
2025-08-28,32.1,82.1,1019.1,16.2,96,11.8,W,19.3,Light Rain,Yes,Yes,Yes,No,Yes,No,High
2025-08-29,22.2,67.9,999.1,17.7,46,6.3,E,39.6,Heavy Rain,Yes,No,No,No,No,Yes,Moderate
2025-08-30,26.3,91.7,1003.0,1.0,50,15.0,SW,28.1,Heavy Rain,Yes,Yes,Yes,No,No,Yes,Moderate
2025-08-31,30.0,69.2,1007.6,14.0,40,6.3,SW,5.9,Light Rain,Yes,Yes,No,No,No,Yes,Moderate
2025-09-01,32.2,54.2,1012.2,10.5,30,8.6,S,0.3,Partly Cloudy,No,No,No,No,No,No,High
2025-09-02,19.8,92.4,1015.6,8.0,39,12.6,E,7.0,Light Rain,Yes,Yes,Yes,No,No,No,Low
2025-09-03,25.0,76.6,1006.9,13.8,24,14.0,NE,0.2,Sunny,No,No,Yes,No,No,Yes,Moderate
2025-09-04,24.2,51.4,1013.3,30.4,56,14.2,N,1.4,Partly Cloudy,No,No,No,Yes,No,No,Moderate
2025-09-05,23.1,65.0,1006.7,21.1,36,11.6,E,0.3,Partly Cloudy,No,No,No,No,No,Yes,Moderate
2025-09-06,37.6,54.0,1007.7,11.4,61,11.1,SW,6.6,Light Rain,Yes,No,No,No,No,Yes,High
2025-09-07,29.4,45.9,1002.2,20.6,16,9.8,NW,2.8,Sunny,No,No,No,No,No,Yes,Moderate
